a.d	a.d.
a.m	a.m.
abbies	abbeys
abhored	abhorred
abilitie	ability
aboute	about
abouts	about
abridg	abridge
absorpt	absorbed
academick	academic
academie	academy
accessorize	accessorise
accomodation	accommodation
accompanie	accompany
accompt	account
accompts	accounts
accordinglie	accordingly
accouterments	accoutrements
accrueing	accruing
accurst	accursed
achs	aches
acknowlege	acknowledge
acknowleged	acknowledged
acknowlegement	acknowledgement
acknowlegements	acknowledgements
acknowleges	acknowledges
acknowleging	acknowledging
acount	account
adde	add
addrest	addressed
adjoyning	adjoining
administred	administered
administring	administering
adown	down
adulterie	adultery
advantagious	advantageous
adventrous	adventurous
adviseable	advisable
aegypt	egypt
aegyptian	egyptian
aegyptians	egyptians
aenigmatical	enigmatical
aerie	eyrie
aerogram	aerogramme
aerograms	aerogrammes
aeternal	eternal
aetherial	aethereal
aethiopia	ethiopia
affaire	affair
affaires	affairs
affraid	afraid
africk	africa
africk's	africa's
afte	aft
againe	again
agen	again
aging	ageing
agreable	agreeable
aile	ail
ailes	ails
aimable	amiable
aire	air
ake	ache
aking	aching
alarum	alarm
alass	alas
alchymist	alchemist
alchymy	alchemy
allarm	alarm
allarmed	alarmed
allarming	alarming
allarms	alarms
alle	all
alledge	allege
alledged	alleged
alledges	alleges
alledging	alleging
alloted	allotted
allum	alum
almanack	almanac
almanack	almanac
almanacks	almanacs
almightie	almighty
almon	almond
alpes	alps
alps	alps
alreadie	already
altho	although
aluminum	aluminium
alway	always
amboyna	amboina
amitie	amity
amphitheater	amphitheatre
amphitheaters	amphitheatres
amplifie	amplify
analagous	analogous
analog	analogue
analogie	analogy
analogs	analogues
analyze	analyse
analyzed	analysed
analyzes	analyses
analyzing	analysing
anatomie	anatomy
ancle	ankle
ancles	ankles
anemia	anaemia
anemic	anaemic
anesthesia	anaesthesia
anesthetic	anaesthetic
anesthetics	anaesthetics
anesthetist	anaesthetist
anesthetists	anaesthetists
angelick	angelic
angrie	angry
anie	any
annales	annals
antick	antic
anticks	antics
antient	ancient
antiently	anciently
antients	ancients
antiqua	antiquam
apoftolick	apostolic
apologie	apology
apostacy	apostasy
apostolick	apostolic
appall	appal
appalls	appals
appartment	apartment
appeare	appear
applyed	applied
arabick	arabic
arabie	araby
arbor	arbour
arbors	arbours
archbishoprick	archbishopric
archeological	archaeological
archeologically	archaeologically
archeologie	archaeology
archeologist	archaeologist
archeologists	archaeologists
archeology	archaeology
ardor	ardour
arfenick	arsenic
aristocratick	aristocratic
aristocratie	aristocracy
arithmetick	arithmetic
arme	arm
armes	arms
armie	army
armor	armour
armored	armoured
armorer	armourer
armorers	armourers
armories	armouries
armory	armoury
aromatick	aromatic
arsenick	arsenic
arte	art
artes	arts
artifact	artefact
artifacts	artefacts
artillerie	artillery
artizan	artisan
artizans	artisans
asiatick	asiatic
aske	ask
askt	asked
assemblie	assembly
assemblys	assemblies
asswage	assuage
astronomie	astronomy
atchieve	achieve
atchieved	achieved
atchievement	achievement
atchievements	achievements
atchieves	achieves
atchieving	achieving
atlantick	atlantic
atrophie	atrophy
attick	attic
attone	atone
